시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,SGC에너지,005090,47.885653811689025,33.83637825758436,18.277968675784678,49050,51012,47578,79
KOSPI,SK가스,018670,35.190180154369024,43.33044043321119,21.479378667361736,251500,261560,243955,82
KOSPI,태양금속,004100,41.677862945566474,37.11305378177947,21.209086252886294,2990,3109,2900,258
KOSPI,LG우,003555,25.740660287871776,32.33372647896682,41.92561099798723,77000,80080,74690,278
KOSPI,CJ대한통운,000120,24.394138453996618,36.916309083771125,38.68954948200002,89000,92560,86330,91
KOSPI,미스토홀딩스,081660,33.31465733895568,42.03174603381069,24.65360109758199,39050,40612,37878,93
KOSPI,녹십자,006280,27.945715266158587,33.56845072833971,38.485836240675866,131900,137176,127943,77
KOSPI,LX세미콘,108320,29.451088250682144,35.71581723517438,34.83309749437571,56000,58240,54320,60
KOSPI,LX인터내셔널,001120,46.18129038999556,33.90949728093472,19.90920934883748,44000,45760,42680,82
KOSPI,GS피앤엘,499790,39.12255223541777,41.21210531110427,19.6653454337102,46250,48100,44862,73
KOSPI,천일고속,000650,28.204908935555522,48.343193993010715,23.451895581317643,220500,229320,213885,44
KOSPI,iM금융지주,139130,30.72857849901508,43.315160009214836,25.956260001653952,18490,19229,17935,48
KOSPI,SNT모티브,064960,31.547094796308244,37.093408847946094,31.35949784586178,33100,34424,32107,173
KOSPI,제일기획,030000,22.687747571632595,33.43405954786338,43.878191390387904,18870,19624,18303,64
KOSPI,GS리테일,007070,41.642998569558806,37.09611713377129,21.2608842966699,27400,28496,26578,73
KOSPI,코오롱,002020,37.36146732347826,39.22376268661549,23.414767754732082,64400,66976,62468,70
KOSPI,현대차3우B,005389,27.05042752115272,34.05016701272612,38.8994047210631,259000,269360,251230,80
KOSPI,두산2우B,000157,30.02146029467192,35.9108933061817,34.06764490903026,507000,527280,491790,546
KOSPI,삼화전기,009470,33.428580908198654,38.343744757584496,28.227674334216847,36300,37752,35211,44
KOSPI,에스원,012750,31.736096721811325,37.271643092212436,30.99226018597624,69900,72696,67803,86
KOSPI,LG화학우,051915,33.80966402554908,38.872196515138945,27.318142439544218,167500,174200,162475,65
KOSPI,DI동일,001530,35.08327902305116,39.85628488785296,25.060437579212014,28600,29744,27742,113
KOSPI,이노션,214320,34.28247970025639,39.45459831069081,26.262920498936687,21000,21840,20370,88
KOSPI,현대비앤지스틸,004560,32.032501657497036,34.241638780953224,33.72585956154974,17000,17680,16490,106
KOSPI,대웅제약,069620,29.407389629449387,35.02739853656821,35.56521332409853,135100,140504,131047,122
KOSPI,YG PLUS,037270,32.30460925360834,34.49559601322696,33.19979324304858,4105,4269,3981,123
KOSPI,대한조선,439260,38.28873180822704,33.81512574333136,27.896141703383538,68000,70720,65960,45
KOSPI,DS단석,017860,37.930407704853266,39.667567039960026,22.40202600024477,16890,17565,16383,44
KOSPI,LX홀딩스,383800,35.38552655351248,38.756324247738,25.858147708633407,9750,10140,9457,133
KOSPI,동국제강,460860,30.59323558916821,35.802843370824256,33.603922530123654,11780,12251,11426,41
KOSPI,대신증권,003540,32.01606989081273,26.023748151177816,41.96018121295138,33050,34372,32058,80
